"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jan 20 2020","2458868.4999537035","601171201","294.07","2.44e-7","2.10e-8","-2.61","-","111.83","1e-8","0","bin140.log"
"Feb 19 2020","2458898.4999537035","603763201","94.84","1.55e-7","2.40e-8","-2.61","-","142.26","1e-8","0","bin141.log"
"Mar 20 2020","2458928.4999537035","606355201","86.77","1.38e-7","2.10e-8","-2.61","-","172.29","1e-8","0","bin142.log"
"Apr 19 2020","2458958.4999537035","608947201","17.62","7.39e-8","2.44e-8","-2.61","-","158.11","1e-8","0","bin143.log"
"May 19 2020","2458988.4999537035","611539201","26.04","7.27e-8","1.82e-8","-2.61","-","129.06","1e-8","0","bin144.log"
"Jun 18 2020","2459018.4999537035","614131201","51.28","8.79e-8","1.68e-8","-2.61","-","100.08","1e-8","0","bin145.log"
"Jul 18 2020","2459048.4999537035","616723201","107.15","1.43e-7","1.90e-8","-2.61","-","70.97","1e-8","0","bin146.log"
"Aug 17 2020","2459078.4999537035","619315201","302.33","2.93e-7","2.50e-8","-2.61","-","41.82","1e-8","0","bin147.log"
"Sep 16 2020","2459108.4999537035","621907201","90.11","2.01e-7","3.20e-8","-2.61","-","13.16","1e-8","0","bin148.log"
"Oct 16 2020","2459138.4999537035","624499201","52.64","1.45e-7","2.70e-8","-2.61","-","17.66","1e-8","0","bin149.log"
"Nov 15 2020","2459168.4999537035","627091201","338.33","2.84e-7","2.30e-8","-2.61","-","46.67","1e-8","0","bin150.log"
"Dec 15 2020","2459198.4999537035","629683201","387.01","3.00e-7","2.40e-8","-2.61","-","76.31","1e-8","0","bin151.log"
"Jan 14 2021","2459228.4999537035","632275201","449.7","2.98e-7","2.20e-8","-2.61","-","106.52","1e-8","0","bin152.log"
"Feb 13 2021","2459258.4999537035","634867201","150.42","2.64e-7","3.30e-8","-2.61","-","136.96","1e-8","0","bin153.log"
"Mar 15 2021","2459288.4999537035","637459201","152.54","1.97e-7","2.30e-8","-2.61","-","167.10","1e-8","0","bin154.log"
"Apr 14 2021","2459318.4999537035","640051201","31.73","9.93e-8","2.48e-8","-2.61","-","163.22","1e-8","0","bin155.log"
"May 14 2021","2459348.4999537035","642643201","240.28","2.97e-7","2.90e-8","-2.61","-","134.12","1e-8","0","bin156.log"
"Jun 13 2021","2459378.4999537035","645235201","543.98","3.43e-7","2.30e-8","-2.61","-","105.15","1e-8","0","bin157.log"
"Jul 13 2021","2459408.4999537035","647827201","377.11","3.27e-7","2.60e-8","-2.61","-","76.06","1e-8","0","bin158.log"
"Aug 12 2021","2459438.4999537035","650419201","238.53","2.22e-7","2.10e-8","-2.61","-","46.90","1e-8","0","bin159.log"
"Sep 11 2021","2459468.4999537035","653011201","207.4","3.28e-7","3.40e-8","-2.61","-","18.03","1e-8","0","bin160.log"
"Oct 11 2021","2459498.4999537035","655603201","31.8","1.09e-7","2.57e-8","-2.61","-","12.80","1e-8","0","bin161.log"
"Nov 10 2021","2459528.4999537035","658195201","100.98","1.48e-7","2.10e-8","-2.61","-","41.54","1e-8","0","bin162.log"
"Dec 10 2021","2459558.4999537035","660787201","233.67","2.23e-7","2.20e-8","-2.61","-","71.09","1e-8","0","bin163.log"
"Jan 09 2022","2459588.4999537035","663379201","380.62","2.64e-7","2.10e-8","-2.61","-","101.21","1e-8","0","bin164.log"
"Feb 08 2022","2459618.4999537035","665971201","143.08","2.02e-7","2.50e-8","-2.61","-","131.65","1e-8","0","bin165.log"
"Mar 10 2022","2459648.4999537035","668563201","204.71","2.25e-7","2.30e-8","-2.61","-","161.88","1e-8","0","bin166.log"
"Apr 09 2022","2459678.4999537035","671155201","84.52","1.41e-7","2.10e-8","-2.61","-","168.34","1e-8","0","bin167.log"
"May 09 2022","2459708.4999537035","673747201","45.43","1.19e-7","2.45e-8","-2.61","-","139.18","1e-8","0","bin168.log"
"Jun 08 2022","2459738.4999537035","676339201","40.18","8.00e-8","1.66e-8","-2.61","-","110.22","1e-8","0","bin169.log"
"Jul 08 2022","2459768.4999537035","678931201","17.56","5.06e-8","1.57e-8","-2.61","-","81.15","1e-8","0","bin170.log"
"Aug 07 2022","2459798.4999537035","681523201","105.2","1.31e-7","1.80e-8","-2.61","-","51.99","1e-8","0","bin171.log"
"Sep 06 2022","2459828.4999537035","684115201","33.87","1.10e-7","2.49e-8","-2.61","-","23.00","1e-8","0","bin172.log"
"Oct 06 2022","2459858.4999537035","686707201","25.25","1.17e-7","3.17e-8","-2.61","-","8.26","1e-8","0","bin173.log"
"Nov 05 2022","2459888.4999537035","689299201","57.27","1.13e-7","2.03e-8","-2.61","-","36.43","1e-8","0","bin174.log"
"Dec 05 2022","2459918.4999537035","691891201","38.07","6.91e-8","1.49e-8","-2.61","-","65.89","1e-8","0","bin175.log"
"Jan 04 2023","2459948.4999537035","694483201","186.03","1.79e-7","1.90e-8","-2.61","-","95.91","1e-8","0","bin176.log"
